iter	Passed	Remaining
0	2	275
1	5	258
2	7	249
3	9	234
4	12	233
5	14	232
6	17	230
7	19	228
8	22	226
9	25	226
10	27	224
11	30	221
12	32	218
13	35	216
14	37	213
15	38	204
16	40	195
17	41	187
18	42	180
19	43	174
20	44	168
21	45	162
22	47	157
23	48	152
24	49	148
25	50	143
26	51	139
27	53	136
28	54	133
29	55	130
30	57	127
31	58	125
32	60	122
33	61	119
34	62	116
35	64	114
36	65	111
37	67	109
38	68	107
39	69	104
40	71	102
41	71	99
42	72	96
43	74	94
44	75	92
45	76	90
46	78	88
47	80	87
48	82	85
49	83	83
50	85	81
51	86	80
52	88	78
53	89	76
54	90	74
55	91	72
56	93	70
57	94	68
58	96	66
59	97	65
60	98	63
61	100	61
62	101	59
63	102	57
64	104	56
65	105	54
66	106	52
67	107	50
68	109	48
69	110	47
70	111	45
71	112	43
72	113	42
73	114	40
74	116	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	125	25
83	126	24
84	127	22
85	128	20
86	130	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	137	10
93	138	8
94	139	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
